res_id,user_id,word,dim_id,score,date_time,liked
1,5,shy,1,0,10-08-2016,1
2,5,shy,2,-4,10-08-2016,1
3,5,shy,3,2,10-08-2016,1
4,5,shy,4,3,10-08-2016,1
5,5,shy,5,-3,10-08-2016,1
6,5,shy,6,3,10-08-2016,1
7,5,shy,7,4,10-08-2016,1
8,5,shy,8,-4,10-08-2016,1
9,5,shy,9,-3,10-08-2016,1
10,5,shy,10,-3,10-08-2016,1
11,5,shy,11,-2,10-08-2016,1
12,5,shy,12,-3,10-08-2016,1
13,5,shy,13,-3,10-08-2016,1
14,5,shy,14,3,10-08-2016,1
15,5,shy,15,-5,10-08-2016,1
16,5,shy,16,3,10-08-2016,1
17,5,shy,17,2,10-08-2016,1
18,5,shy,18,3,10-08-2016,1
19,5,shy,19,2,10-08-2016,1
20,5,shy,20,3,10-08-2016,1
21,5,driven,1,-5,10-08-2016,1
22,5,driven,2,-4,10-08-2016,1
23,5,driven,3,4,10-08-2016,1
24,5,driven,4,4,10-08-2016,1
25,5,driven,5,4,10-08-2016,1
26,5,driven,6,-4,10-08-2016,1
27,5,driven,7,-3,10-08-2016,1
28,5,driven,8,4,10-08-2016,1
29,5,driven,9,1,10-08-2016,1
30,5,driven,10,-1,10-08-2016,1
31,5,driven,11,4,10-08-2016,1
32,5,driven,12,2,10-08-2016,1
33,5,driven,13,-4,10-08-2016,1
34,5,driven,14,-3,10-08-2016,1
35,5,driven,15,2,10-08-2016,1
36,5,driven,16,4,10-08-2016,1
37,5,driven,17,3,10-08-2016,1
38,5,driven,18,3,10-08-2016,1
39,5,driven,19,3,10-08-2016,1
40,5,driven,20,3,10-08-2016,1
41,1,shy,1,-3,10-08-2016,1
42,1,shy,2,2,10-08-2016,1
43,1,shy,3,3,10-08-2016,1
44,1,shy,4,-2,10-08-2016,1
45,1,shy,5,2,10-08-2016,1
46,1,shy,6,-1,10-08-2016,1
47,1,shy,7,2,10-08-2016,1
48,1,shy,8,-1,10-08-2016,1
49,1,shy,9,-3,10-08-2016,1
50,1,shy,10,-2,10-08-2016,1
51,1,shy,11,2,10-08-2016,1
52,1,shy,12,0,10-08-2016,1
53,1,shy,13,-4,10-08-2016,1
54,1,shy,14,-3,10-08-2016,1
55,1,shy,15,-3,10-08-2016,1
56,1,shy,16,-2,10-08-2016,1
57,1,shy,17,3,10-08-2016,1
58,1,shy,18,4,10-08-2016,1
59,1,shy,19,1,10-08-2016,1
60,1,shy,20,2,10-08-2016,1
61,5,perfectionist,1,-5,10-08-2016,1
62,5,perfectionist,2,-5,10-08-2016,1
63,5,perfectionist,3,5,10-08-2016,1
64,5,perfectionist,4,5,10-08-2016,1
65,5,perfectionist,5,5,10-08-2016,1
66,5,perfectionist,6,-5,10-08-2016,1
67,5,perfectionist,7,5,10-08-2016,1
68,5,perfectionist,8,5,10-08-2016,1
69,5,perfectionist,9,-5,10-08-2016,1
70,5,perfectionist,10,-5,10-08-2016,1
71,5,perfectionist,11,5,10-08-2016,1
72,5,perfectionist,12,5,10-08-2016,1
73,5,perfectionist,13,-5,10-08-2016,1
74,5,perfectionist,14,-5,10-08-2016,1
75,5,perfectionist,15,5,10-08-2016,1
76,5,perfectionist,16,5,10-08-2016,1
77,5,perfectionist,17,3,10-08-2016,1
78,5,perfectionist,18,3,10-08-2016,1
79,5,perfectionist,19,3,10-08-2016,1
80,5,perfectionist,20,3,10-08-2016,1
81,5,elegant,1,2,10-08-2016,1
82,5,elegant,2,1,10-08-2016,1
83,5,elegant,3,2,10-08-2016,1
84,5,elegant,4,-1,10-08-2016,1
85,5,elegant,5,-2,10-08-2016,1
86,5,elegant,6,-1,10-08-2016,1
87,5,elegant,7,-2,10-08-2016,1
88,5,elegant,8,1,10-08-2016,1
