word,dim_id,avg,var
abashed,people-oriented vs task-oriented,0.102564103,0.009555117
abashed,process-focused vs output-focused,-0.102564103,0.030067938
abashed,systematic vs Haphazard,-1.641025641,0.112776682
abashed,analytical vs intuitive,-0.358974359,0.07089634
abashed,detailed vs big picture,0.051282051,0.079311856
abashed,Imaginative vs realistic,0.717948718,0.057944335
abashed,certain vs flexible,-0.820512821,0.052553145
abashed,positive vs Sceptic,-0.41025641,0.024676748
abashed,fun vs serious,-0.153846154,0.021499014
abashed,Stylish vs Dull,0.102564103,0.014683322
abashed,clear vs vague,-2.205128205,0.083519614
abashed,direct vs diplomatic,-0.256410256,0.023822047
abashed,aggressive vs calm,0.358974359,0.019614289
abashed,persistent vs laid back,-0.41025641,0.045189568
abashed,Social vs Individual,0,0.020512821
abashed,Ambitious vs Contended,-0.051282051,0.01264519
abashed,Maturity,0.256410256,0.023822047
abashed,Intelligence,0.256410256,0.013565637
abashed,Athletic,0.102564103,0.004426912
abashed,Attractive,0.102564103,0.004426912
abiding,people-oriented vs task-oriented,-0.833333333,0.067592593
abiding,process-focused vs output-focused,-0.111111111,0.060288066
abiding,systematic vs Haphazard,1.055555556,0.061831276
abiding,analytical vs intuitive,0.722222222,0.079115226
abiding,detailed vs big picture,0.722222222,0.068004115
abiding,Imaginative vs realistic,-1.111111111,0.067695473
abiding,certain vs flexible,0.111111111,0.138065844
abiding,positive vs Sceptic,1.111111111,0.095473251
abiding,fun vs serious,-0.444444444,0.097942387
abiding,Stylish vs Dull,-0.222222222,0.052263374
abiding,clear vs vague,1.055555556,0.078497942
abiding,direct vs diplomatic,0.333333333,0.048148148
abiding,aggressive vs calm,-1.388888889,0.068621399
abiding,persistent vs laid back,0.111111111,0.099176955
abiding,Social vs Individual,0.166666667,0.039814815
abiding,Ambitious vs Contended,-0.777777778,0.081893004
abiding,Maturity,1.111111111,0.062139918
abiding,Intelligence,0.444444444,0.036831276
abiding,Athletic,0.111111111,0.00473251
abiding,Attractive,0.111111111,0.00473251
able,people-oriented vs task-oriented,-0.794165904,0.175176725
able,process-focused vs output-focused,-0.147285998,0.258371506
able,systematic vs Haphazard,1.048486649,0.181856895
able,analytical vs intuitive,0.574191268,0.154994627
able,detailed vs big picture,0.359334118,0.163801354
able,Imaginative vs realistic,-0.486361852,0.124591129
able,certain vs flexible,0.483594613,0.142743132
able,positive vs Sceptic,1.063671943,0.116273796
able,fun vs serious,0.039513562,0.111761958
able,Stylish vs Dull,-0.012310854,0.067130686
able,clear vs vague,1.371345173,0.125783745
able,direct vs diplomatic,0.635659232,0.100706987
able,aggressive vs calm,-0.20789817,0.152834712
able,persistent vs laid back,0.643276862,0.123789462
able,Social vs Individual,-0.075452243,0.139926512
able,Ambitious vs Contended,0.695874397,0.171841122
able,Maturity,1.219530387,0.093555039
able,Intelligence,1.017973429,0.069441002
able,Athletic,0.234517632,0.031245362
able,Attractive,0.421279944,0.041282163
abrupt,people-oriented vs task-oriented,-0.487179487,0.122358453
abrupt,process-focused vs output-focused,-0.608974359,0.163413802
abrupt,systematic vs Haphazard,-0.519230769,0.128773689
abrupt,analytical vs intuitive,-0.725961538,0.145737431
abrupt,detailed vs big picture,-0.524038462,0.121373043
abrupt,Imaginative vs realistic,0.272435897,0.075335455
abrupt,certain vs flexible,0.115384615,0.11561717
abrupt,positive vs Sceptic,0.514423077,0.077626208
abrupt,fun vs serious,0.245192308,0.088078025
abrupt,Stylish vs Dull,0.115384615,0.039594994
abrupt,clear vs vague,0.3125,0.114662514
abrupt,direct vs diplomatic,0.940705128,0.109067107
abrupt,aggressive vs calm,0.780448718,0.106702381
abrupt,persistent vs laid back,0.616987179,0.058606856
abrupt,Social vs Individual,-0.022435897,0.095555194
abrupt,Ambitious vs Contended,0.729166667,0.080717632
abrupt,Maturity,0.480769231,0.032394617
abrupt,Intelligence,0.495192308,0.044796883
abrupt,Athletic,0.232371795,0.02936156
abrupt,Attractive,0.229166667,0.018339629
absent-minded,people-oriented vs task-oriented,0.282051282,0.07413982
absent-minded,process-focused vs output-focused,-0.076923077,0.075147929
absent-minded,systematic vs Haphazard,-0.461538462,0.079684418
absent-minded,analytical vs intuitive,-0.384615385,0.055621302
absent-minded,detailed vs big picture,-0.41025641,0.039820294
absent-minded,Imaginative vs realistic,0.102564103,0.047841332
absent-minded,certain vs flexible,-0.435897436,0.034166119
absent-minded,positive vs Sceptic,-0.333333333,0.040740741
absent-minded,fun vs serious,0.282051282,0.053627
absent-minded,Stylish vs Dull,0.102564103,0.024764409
absent-minded,clear vs vague,-0.641025641,0.051654613
absent-minded,direct vs diplomatic,-0.076923077,0.018737673
absent-minded,aggressive vs calm,-0.128205128,0.017861056
absent-minded,persistent vs laid back,-0.307692308,0.025443787
absent-minded,Social vs Individual,0.230769231,0.03530572
absent-minded,Ambitious vs Contended,-0.179487179,0.016546132
absent-minded,Maturity,0.205128205,0.019570458
absent-minded,Intelligence,0.179487179,0.019110234
absent-minded,Athletic,0.153846154,0.015976331
absent-minded,Attractive,0.179487179,0.019110234
absolute,people-oriented vs task-oriented,-0.500399651,0.085063045
absolute,process-focused vs output-focused,-0.136049758,0.094634049
absolute,systematic vs Haphazard,0.673255078,0.060233777
absolute,analytical vs intuitive,0.499017296,0.053279933
absolute,detailed vs big picture,0.236179225,0.080854194
absolute,Imaginative vs realistic,-0.329591066,0.055605207
absolute,certain vs flexible,0.375742692,0.081798212
absolute,positive vs Sceptic,0.489251607,0.04350788
absolute,fun vs serious,-0.082016065,0.042952381
absolute,Stylish vs Dull,-0.210856618,0.079797183
absolute,clear vs vague,0.985047125,0.115495278
absolute,direct vs diplomatic,0.663819817,0.094327292
absolute,aggressive vs calm,-0.228542922,0.06461458
absolute,persistent vs laid back,0.460536786,0.066265127
absolute,Social vs Individual,-0.103937224,0.0646065
absolute,Ambitious vs Contended,0.304424767,0.074923585
absolute,Maturity,0.877575858,0.05614961
absolute,Intelligence,0.603604325,0.03625817
absolute,Athletic,0.142335089,0.009343662
absolute,Attractive,0.284841774,0.020491609
absorbing,people-oriented vs task-oriented,0.994429182,0.073627103
absorbing,process-focused vs output-focused,-0.55643315,0.064390304
absorbing,systematic vs Haphazard,0.262210012,0.056819318
absorbing,analytical vs intuitive,0.04368895,0.073332797
absorbing,detailed vs big picture,-0.194940476,0.080953304
absorbing,Imaginative vs realistic,0.198756105,0.037873712
absorbing,certain vs flexible,-0.350465507,0.030655626
absorbing,positive vs Sceptic,0.965468559,0.053756858
absorbing,fun vs serious,0.898504274,0.03686744
absorbing,Stylish vs Dull,1.21875,0.036908637
absorbing,clear vs vague,0.500114469,0.054161897
absorbing,direct vs diplomatic,-0.259882479,0.026792641
absorbing,aggressive vs calm,-0.304143773,0.030951637
absorbing,persistent vs laid back,-0.217452686,0.046802246
absorbing,Social vs Individual,1.125610501,0.029764985
absorbing,Ambitious vs Contended,0.509271978,0.059337323
absorbing,Maturity,0.664148352,0.056109563
absorbing,Intelligence,0.64617674,0.040098763
absorbing,Athletic,0.366720085,0.016314281
absorbing,Attractive,1.586423993,0.020957818
abstracted,people-oriented vs task-oriented,0.016025641,0.097294879
abstracted,process-focused vs output-focused,-0.316239316,0.097968783
abstracted,systematic vs Haphazard,-0.022435897,0.087251979
abstracted,analytical vs intuitive,-0.34508547,0.084688437
abstracted,detailed vs big picture,-0.607905983,0.098351469
abstracted,Imaginative vs realistic,0.273504274,0.087286629
abstracted,certain vs flexible,-0.079059829,0.073366283
abstracted,positive vs Sceptic,0.222222222,0.087711934
abstracted,fun vs serious,0.293803419,0.046153774
abstracted,Stylish vs Dull,0.148504274,0.032189496
abstracted,clear vs vague,-0.014957265,0.096610566
abstracted,direct vs diplomatic,0.155982906,0.050784428
abstracted,aggressive vs calm,-0.091880342,0.038616483
abstracted,persistent vs laid back,0.082264957,0.054897692
abstracted,Social vs Individual,0.254273504,0.043302655
abstracted,Ambitious vs Contended,0.313034188,0.077784171
abstracted,Maturity,0.38034188,0.037544902
abstracted,Intelligence,0.520299145,0.060816697
abstracted,Athletic,0.132478632,0.014526128
abstracted,Attractive,0.242521368,0.024493097
abstruse,people-oriented vs task-oriented,0.166666667,0.124465812
abstruse,process-focused vs output-focused,0.066666667,0.07817094
abstruse,systematic vs Haphazard,-1.311111111,0.267859449
abstruse,analytical vs intuitive,-0.877777778,0.183083096
abstruse,detailed vs big picture,-0.377777778,0.132976258
abstruse,Imaginative vs realistic,1.311111111,0.261962013
abstruse,certain vs flexible,-0.088888889,0.101278253
abstruse,positive vs Sceptic,-0.366666667,0.119029915
abstruse,fun vs serious,-0.333333333,0.10042735
abstruse,Stylish vs Dull,2.288888889,1.253603039
abstruse,clear vs vague,-1.577777778,0.417745489
abstruse,direct vs diplomatic,-0.833333333,0.255235043
abstruse,aggressive vs calm,0.911111111,0.362389364
abstruse,persistent vs laid back,0.622222222,0.142634378
abstruse,Social vs Individual,-0.077777778,0.141783951
abstruse,Ambitious vs Contended,0.555555556,0.190075973
abstruse,Maturity,-1.022222222,0.366805318
abstruse,Intelligence,-0.4,0.108769231
abstruse,Athletic,-0.033333333,0.031850427
abstruse,Attractive,-0.144444444,0.042866572
absurd,people-oriented vs task-oriented,0.884615385,0.179742604
absurd,process-focused vs output-focused,-1.102564103,0.133295201
absurd,systematic vs Haphazard,-1.169871795,0.170724873
absurd,analytical vs intuitive,-1.480769231,0.09248003
absurd,detailed vs big picture,-0.705128205,0.146091059
absurd,Imaginative vs realistic,1.71474359,0.118081381
absurd,certain vs flexible,-1.032051282,0.133923159
absurd,positive vs Sceptic,0.673076923,0.078882396
absurd,fun vs serious,1.567307692,0.10032267
absurd,Stylish vs Dull,2.051282051,0.111721236
absurd,clear vs vague,-0.483974359,0.14048079
absurd,direct vs diplomatic,0,0.1
absurd,aggressive vs calm,-0.016025641,0.108012841
absurd,persistent vs laid back,-0.753205128,0.077122309
absurd,Social vs Individual,1.310897436,0.146884143
absurd,Ambitious vs Contended,0.833333333,0.086722222
absurd,Maturity,0.557692308,0.028320266
absurd,Intelligence,0.871794872,0.081283366
absurd,Athletic,0.355769231,0.031520895
absurd,Attractive,0.868589744,0.06928651
academic,people-oriented vs task-oriented,-0.152380952,0
academic,process-focused vs output-focused,-0.304761905,0
academic,systematic vs Haphazard,-0.147619048,0
academic,analytical vs intuitive,-0.028571429,0
academic,detailed vs big picture,-0.028571429,0
academic,Imaginative vs realistic,0.053968254,0
academic,certain vs flexible,0.133333333,0
academic,positive vs Sceptic,-0.022222222,0
academic,fun vs serious,0.196825397,0
academic,Stylish vs Dull,0.077777778,0
academic,clear vs vague,-0.182539683,0
academic,direct vs diplomatic,0.380952381,0
academic,aggressive vs calm,0.780952381,0
academic,persistent vs laid back,0.371428571,0
academic,Social vs Individual,0.088888889,0
academic,Ambitious vs Contended,0.444444444,0
academic,Maturity,0.173015873,0
academic,Intelligence,0.276190476,0
academic,Athletic,0.196825397,0
academic,Attractive,0.165079365,0
accepted,people-oriented vs task-oriented,-0.692307692,0.071597633
accepted,process-focused vs output-focused,-0.076923077,0.11617357
accepted,systematic vs Haphazard,1.179487179,0.127657243
accepted,analytical vs intuitive,0.615384615,0.053057199
accepted,detailed vs big picture,0.717948718,0.074994521
accepted,Imaginative vs realistic,-0.435897436,0.054678939
accepted,certain vs flexible,0.384615385,0.076134122
accepted,positive vs Sceptic,0.538461538,0.077120316
accepted,fun vs serious,-0.179487179,0.039623055
accepted,Stylish vs Dull,-0.256410256,0.025290379
